COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_00083.dat: sad 0.00170135 [gold -0.903078 .. 2.86736] [out -0.931763 .. 2.88705]
trace/000_000_00084.dat: sad 0.00457565 [gold -7.1992 .. 9.75745] [out -7.0816 .. 9.71202]
trace/000_000_00085.dat: sad 0.00706739 [gold -14.5294 .. 4.7467] [out -14.3189 .. 4.72169]
trace/000_000_00086.dat: sad 0.0016632 [gold -0.893484 .. 2.09629] [out -0.893533 .. 2.12516]
trace/000_000_00087.dat: sad 0.00458567 [gold -8.79905 .. 11.1638] [out -8.6514 .. 11.1094]
trace/000_000_00088.dat: sad 0.0078387 [gold -16.2971 .. 5.85535] [out -16.0974 .. 5.832]
trace/000_000_00089.dat: sad 0.00160977 [gold -0.701874 .. 2.90771] [out -0.701097 .. 2.93471]
trace/000_000_00090.dat: sad 0.00391624 [gold -6.22194 .. 8.93063] [out -6.204 .. 8.88532]
trace/000_000_00091.dat: sad 0.00648972 [gold -8.84403 .. 6.63902] [out -8.70971 .. 6.62491]
trace/000_000_00092.dat: sad 0.00171699 [gold -1.27898 .. 0.921427] [out -1.32164 .. 0.914319]
trace/000_000_00093.dat: sad 0.00419389 [gold -6.90362 .. 8.5352] [out -6.89599 .. 8.48842]
trace/000_000_00094.dat: sad 0.00686109 [gold -10.0345 .. 4.92502] [out -9.87383 .. 4.90475]
trace/000_000_00095.dat: sad 0.00183142 [gold -1.19567 .. 1.05162] [out -1.19439 .. 1.05263]
trace/000_000_00096.dat: sad 0.00286981 [gold -8.35711 .. 5.95586] [out -8.33702 .. 5.94913]
trace/000_000_00097.dat: sad 0.00469224 [gold -6.7522 .. 2.22363] [out -6.75092 .. 2.21344]
trace/000_000_00098.dat: sad 0.000936762 [gold -1.69743 .. 2.66141] [out -1.67404 .. 2.6446]
trace/000_000_00099.dat: sad 0.13685 [gold -17.2025 .. 16.3017] [out -15.6155 .. 15.27]
trace/000_000_00100.dat: sad 0.185105 [gold -6.36661 .. 4.24159] [out -5.89977 .. 3.85641]
trace/000_000_00101.dat: sad 0.0183354 [gold -0.424193 .. 1.62425] [out -0.48515 .. 1.81944]
trace/000_000_00102.dat: sad 0.0729191 [gold -11.4073 .. 11.6794] [out -11.8204 .. 12.0112]
trace/000_000_00103.dat: sad 0.175046 [gold -4.78175 .. 2.65443] [out -4.84503 .. 2.54994]
trace/000_000_00104.dat: sad 0.0147094 [gold -0.431008 .. 1.7764] [out -0.381736 .. 1.44259]
trace/000_000_00105.dat: sad 0.086652 [gold -12.9569 .. 12.5192] [out -12.6708 .. 12.3113]
trace/000_000_00106.dat: sad 0.139344 [gold -4.77801 .. 2.78972] [out -4.93093 .. 2.5057]
trace/000_000_00107.dat: sad 0.0155626 [gold -0.637134 .. 2.48551] [out -0.578536 .. 2.11371]
trace/000_000_00108.dat: sad 0.0962049 [gold -12.2256 .. 12.8918] [out -12.2019 .. 12.629]
trace/000_000_00109.dat: sad 0.166513 [gold -4.8633 .. 2.82758] [out -4.6186 .. 2.73442]
trace/000_000_00110.dat: sad 0.0167404 [gold -0.61822 .. 2.85963] [out -0.51349 .. 2.2335]
trace/000_000_00111.dat: sad 0.0869423 [gold -14.2102 .. 14.7032] [out -14.1862 .. 14.5402]
trace/000_000_00112.dat: sad 0.192151 [gold -5.56366 .. 3.34643] [out -5.82939 .. 3.36378]
trace/000_000_00113.dat: sad 0.0179134 [gold -0.379722 .. 1.63481] [out -0.324945 .. 1.19814]
trace/000_000_00114.dat: sad 0.132741 [gold -16.1052 .. 16.3911] [out -16.0108 .. 15.9576]
trace/000_000_00115.dat: sad 0.163812 [gold -7.54597 .. 7.53005] [out -7.94417 .. 8.01369]
trace/000_000_00116.dat: sad 0.0443906 [gold -0.844357 .. 1.37371] [out -0.918408 .. 1.00557]
trace/000_000_00117.dat: sad 0.165231 [gold -18.2401 .. 16.0707] [out -17.4169 .. 15.632]
trace/000_000_00118.dat: sad 0.203672 [gold -7.90225 .. 8.26908] [out -8.20243 .. 8.56065]
trace/000_000_00119.dat: sad 0.0428174 [gold -1.3455 .. 1.31376] [out -1.24157 .. 1.13086]
trace/000_000_00120.dat: sad 0.021624 [gold -14.2742 .. 14.0325] [out -14.4816 .. 14.1822]
trace/000_000_00121.dat: sad 0.0422319 [gold -6.36432 .. 3.27717] [out -6.41499 .. 3.30285]
trace/000_000_00122.dat: sad 0.00371631 [gold -0.391224 .. 0.967314] [out -0.3996 .. 0.990672]
trace/000_000_00123.dat: sad 0.016057 [gold -14.0041 .. 13.2867] [out -13.9567 .. 13.2636]
trace/000_000_00124.dat: sad 0.0190011 [gold -5.03191 .. 3.01936] [out -5.0111 .. 3.02597]
trace/000_000_00125.dat: sad 0.00304984 [gold -0.432708 .. 1.70839] [out -0.439158 .. 1.72537]
trace/000_000_00126.dat: sad 0.00639096 [gold -16.302 .. 15.5295] [out -16.315 .. 15.5461]
trace/000_000_00127.dat: sad 0.00913337 [gold -5.62307 .. 3.67495] [out -5.60932 .. 3.64898]
trace/000_000_00128.dat: sad 0.00128005 [gold -0.354963 .. 1.6909] [out -0.35301 .. 1.70345]
trace/000_000_00129.dat: sad 0.0076528 [gold -13.2491 .. 13.9095] [out -13.2542 .. 13.8999]
trace/000_000_00130.dat: sad 0.0102544 [gold -5.03057 .. 3.66912] [out -5.01176 .. 3.66551]
trace/000_000_00131.dat: sad 0.00115945 [gold -0.378486 .. 1.71439] [out -0.378803 .. 1.73237]
trace/000_000_00132.dat: sad 0.00568948 [gold -14.5926 .. 14.1798] [out -14.5778 .. 14.1607]
trace/000_000_00133.dat: sad 0.00956036 [gold -5.42862 .. 3.67611] [out -5.40472 .. 3.67067]
trace/000_000_00134.dat: sad 0.000944907 [gold -0.35745 .. 1.42399] [out -0.357987 .. 1.43739]
trace/000_000_00135.dat: sad 0.0065895 [gold -13.1445 .. 12.9135] [out -13.1806 .. 12.9585]
trace/000_000_00136.dat: sad 0.00940358 [gold -5.60606 .. 3.00824] [out -5.59633 .. 3.0167]
trace/000_000_00137.dat: sad 0.00113427 [gold -0.455548 .. 1.29747] [out -0.454542 .. 1.3059]
trace/000_000_00138.dat: sad 0.00502326 [gold -13.7198 .. 12.5384] [out -13.7324 .. 12.5483]
trace/000_000_00139.dat: sad 0.00722056 [gold -5.91501 .. 3.50312] [out -5.90347 .. 3.5055]
